Rank,Country,Continent,Region,Population_2018,Population_2019,Change
1,China,Asia,Eastern Asia,1427647786,1433783686,0.4
2,India,Asia,Southern Asia,1352642280,1366417754,1
3,United States,Americas,Northern America,327096265,329064917,0.6
4,Indonesia,Asia,South-eastern Asia,267670543,270625568,1.1
5,Pakistan,Asia,Southern Asia,212228286,216565318,2
6,Brazil,Americas,South America,209469323,211049527,0.8
7,Nigeria,Africa,Western Africa,195874683,200963599,2.6
8,Bangladesh,Asia,Southern Asia,161376708,163046161,1
9,Russia,Europe,Eastern Europe,145734038,145872256,0.1
10,Mexico,Americas,Central America,126190788,127575529,1.1
11,Japan,Asia,Eastern Asia,127202192,126860301,-0.3
12,Ethiopia,Africa,Eastern Africa,109224414,112078730,2.6
13,Philippines,Asia,South-eastern Asia,106651394,108116615,1.4
14,Egypt,Africa,Northern Africa,98423598,100388073,2
15,Vietnam,Asia,South-eastern Asia,95545962,96462106,1
16,Democratic Republic of the Congo,Africa,Middle Africa,84068091,86790567,3.2
17,Germany,Europe,Western Europe,83124418,83517045,0.5
18,Turkey,Asia,Western Asia,82340088,83429615,1.3
19,Iran,Asia,Southern Asia,81800188,82913906,1.4
20,Thailand,Asia,South-eastern Asia,68863514,69037513,0.3
21,United Kingdom,Europe,Northern Europe,67141684,67530172,0.6
22,France,Europe,Western Europe,64990511,65129728,0.2
23,Italy,Europe,Southern Europe,60627291,60550075,-0.1
24,South Africa,Africa,Southern Africa,57792518,58558270,1.3
25,Tanzania,Africa,Eastern Africa,56313438,58005463,3
26,Myanmar,Asia,South-eastern Asia,53708320,54045420,0.6
27,Kenya,Africa,Eastern Africa,51392565,52573973,2.3
28,South Korea,Asia,Eastern Asia,51171706,51225308,0.1
29,Colombia,Americas,South America,49661048,50339443,1.4
30,Spain,Europe,Southern Europe,46692858,46736776,0.1
31,Argentina,Americas,South America,44361150,44780677,0.9
32,Uganda,Africa,Eastern Africa,42729036,44269594,3.6
33,Ukraine,Europe,Eastern Europe,44246156,43993638,-0.6
34,Algeria,Africa,Northern Africa,42228408,43053054,2
35,Sudan,Africa,Northern Africa,41801533,42813238,2.4
36,Iraq,Asia,Western Asia,38433600,39309783,2.3
37,Afghanistan,Asia,Southern Asia,37171921,38041754,2.3
38,Poland,Europe,Eastern Europe,37921592,37887768,-0.1
39,Canada,Americas,Northern America,37074562,37411047,0.9
40,Morocco,Africa,Northern Africa,36029093,36471769,1.2
41,Saudi Arabia,Asia,Western Asia,33702756,34268528,1.7
42,Uzbekistan,Asia,Central Asia,32476244,32981716,1.6
43,Peru,Americas,South America,31989260,32510453,1.6
44,Malaysia,Asia,South-eastern Asia,31528033,31949777,1.3
45,Angola,Africa,Middle Africa,30809787,31825295,3.3
46,Mozambique,Africa,Eastern Africa,29496004,30366036,2.9
47,Yemen,Asia,Western Asia,28498683,29161922,2.3
